,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,YEAR,mode2
101,Rihanna,What's My Name?,1,0.695,0.782,2,-2.967,1,0.0629,0.223,0.0,0.0773,0.595,99.992,263173,4,2010,major
102,Taylor Swift,Mean,1,0.568,0.7609999999999999,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.97400000000005,237733,4,2010,major
103,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),1,0.41100000000000003,0.986,8,-2.522,0,0.0583,0.000264,0.00148,0.371,0.649,165.981,205960,4,2010,minor
104,Robyn,Dancing On My Own - Radio Edit,1,0.573,0.9259999999999999,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.21899999999999997,117.04700000000001,278080,4,2010,major
105,Lady Antebellum,American Honey,1,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.99700000000001,224867,4,2010,major
106,Bruno Mars,Runaway Baby,1,0.6559999999999999,0.767,11,-3.0380000000000003,1,0.0396,0.25,0.0,0.114,0.871,163.834,147747,4,2010,major
107,Nicki Minaj,Moment 4 Life,1,0.68,0.882,11,-3.883,1,0.23600000000000002,0.406,0.0,0.24100000000000002,0.386,97.943,279307,4,2010,major
108,Katy Perry,California Gurls,1,0.7879999999999999,0.753,0,-3.71,1,0.0536,0.0038,0.0,0.18,0.40299999999999997,125.005,234653,4,2010,major
109,DJ Khaled,All I Do Is Win,1,0.5489999999999999,0.7909999999999999,10,-3.535,1,0.133,0.0104,0.0,0.444,0.293,150.094,227293,4,2010,major
110,Hans Zimmer,Time,1,0.221,0.0879,7,-16.996,1,0.0381,0.155,0.698,0.0869,0.0401,126.62200000000001,275547,4,2010,major
111,Angus & Julia Stone,Big Jet Plane,1,0.763,0.387,10,-8.642999999999999,0,0.0278,0.239,0.00747,0.13,0.273,109.95700000000001,239147,4,2010,minor
112,Flo Rida,Club Can't Handle Me (feat. David Guetta),1,0.616,0.8690000000000001,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.96600000000001,234560,4,2010,major
113,Joy Division,Love Will Tear Us Apart - 2010 Remaster,1,0.525,0.902,2,-8.662,1,0.0368,0.000989,0.691,0.13699999999999998,0.907,146.83,204621,4,2010,major
114,The Black Keys,Tighten Up,1,0.504,0.705,6,-6.178999999999999,0,0.0665,0.00121,4.12e-06,0.45299999999999996,0.5670000000000001,108.965,211080,4,2010,minor
115,Soulja Boy,Pretty Boy Swag,1,0.8370000000000001,0.42,8,-5.1579999999999995,1,0.0629,0.177,0.0,0.35600000000000004,0.14300000000000002,123.15700000000001,236093,4,2010,major
116,Turnpike Troubadours,7 & 7,1,0.401,0.802,9,-5.278,1,0.0294,0.0227,0.0,0.33799999999999997,0.8490000000000001,191.093,289653,4,2010,major
